Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,Hello and welcome to our short survey. Your answers are completely anonymous and will be grouped together with all others and not looked at on an individual basis. What is your gender?,What is your age?,Which of the following areas of Illinois do you live in?,"If there are any firearms in your home or in any of your household's vehicles, are they...","If you were to obtain a firearm, how would you most likely store it?","If there are any firearms in your HOME, how are they stored? (please choose all that apply)",,,,,,,"If there are any firearms in any of your household's VEHICLES, how are they stored? (Please choose all that apply)",,,,Are there any children or teens living in your home (permanently or occasionally)?,"When your children or teens visit friends or other homes, do you or someone else ever ask about the presence of firearms and how they are stored?","Are there any children or teens EVER VISITING your home (including grandchildren, other relatives, friends or others)?",Have you ever seen or heard information on how and why to store firearms safely?,Would you consider the area you live to be...?,Age,Device Type,Gender,Household Income,Region
118440899057,453292315,10/11/2023 12:43:33 PM,10/11/2023 12:44:52 PM,,,,,339231540d7b7ce71285e23999,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,Children not old enough/don't visit other homes,,No/don't recall,Suburban,30-44,Android Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440887597,453292315,10/11/2023 12:32:52 PM,10/11/2023 12:33:19 PM,,,,,87b01dab03a054c2777810fb95,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,,Locked safe or case (not biometric),,,"Drawer, nightstand or other UNLOCKED area",,"Biometric (fingerprint, etc.) safe secured to vehicle",,,,Yes,Yes,,Yes,Suburban,30-44,Android Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440885171,453292315,10/11/2023 12:30:38 PM,10/11/2023 12:31:01 PM,,,,,d420d9c3621600ada673e59798,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,,,Other type of lock or safe (including locked cabinet or other locked area),,,"Biometric (fingerprint, etc.) safe secured to vehicle",,,,No,,No,No/don't recall,Urban/city,18-29,iOS Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440884169,453292315,10/11/2023 12:29:00 PM,10/11/2023 12:29:59 PM,,,,,e30acd2af0c890d64e678706f2,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)",All Unlocked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,,No firearms in any household vehicles,No,,No,Yes,Rural,30-44,iOS Phone / Tablet,Female,"$75,000-$99,999",East North Central
118440884072,453292315,10/11/2023 12:28:55 PM,10/11/2023 12:29:53 PM,,,,,106cce33d03c54f318cd20e551,smc,Female,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,,,No firearms in any household vehicles,Yes,No,,Yes,Suburban,30-44,iOS Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440881234,453292315,10/11/2023 12:26:38 PM,10/11/2023 12:26:57 PM,,,,,b778c153787d955ff94cd3ad45,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,Cable lock,,,,Other type of lock or safe (including locked cabinet or other locked area),,,"Biometric (fingerprint, etc.) safe secured to vehicle",,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,Yes,,Yes,Suburban,18-29,iOS Phone / Tablet,Male,"$0-$9,999",East North Central
118440879766,453292315,10/11/2023 12:25:11 PM,10/11/2023 12:25:27 PM,,,,,81beb1c5170cf7b0b3afa571e5,smc,Male,35-54,"Central (Peoria, Champaign, Springfield, etc.)","Some locked, some unlocked",,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,No,,Yes,Rural,30-44,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440871327,453292315,10/11/2023 12:15:36 PM,10/11/2023 12:16:49 PM,,,,,80f4253792612c6ee1df3887d0,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,Yes,No,,Yes,Urban/city,18-29,iOS Phone / Tablet,Male,"$125,000-$149,999",East North Central
118440870847,453292315,10/11/2023 12:15:54 PM,10/11/2023 12:16:22 PM,,,,,9f75f3ca56048b0696882e686a,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,,,Trigger Lock,Other type of lock or safe (including locked cabinet or other locked area),,,"Biometric (fingerprint, etc.) safe secured to vehicle",,,,Yes,Yes,,Yes,Suburban,30-44,iOS Phone / Tablet,Female,"$200,000+",East North Central
118440868329,453292315,10/11/2023 12:13:25 PM,10/11/2023 12:14:14 PM,,,,,87dd78706af1652db6d6a74a95,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,Yes,,No/don't recall,Suburban,18-29,iOS Phone / Tablet,Female,"$75,000-$99,999",East North Central
118440862951,453292315,10/11/2023 12:07:54 PM,10/11/2023 12:09:03 PM,,,,,b52dca4006afa69d505b766465,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Urban/city,18-29,Android Phone / Tablet,Female,"$0-$9,999",East North Central
118440860508,453292315,10/11/2023 12:06:02 PM,10/11/2023 12:06:49 PM,,,,,03eee026aac113267b1c3261df,smc,Female,21-34,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,"Drawer, nightstand, or other UNLOCKED area in home",,,,,,,,,,,,No,,Yes,No/don't recall,Rural,18-29,Android Phone / Tablet,Female,"$75,000-$99,999",East North Central
118440858767,453292315,10/11/2023 12:04:43 PM,10/11/2023 12:05:47 PM,,,,,d93ebf97337f6a362d49e753a6,smc,Male,55+,"Central (Peoria, Champaign, Springfield, etc.)",All Unlocked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,,No firearms in any household vehicles,No,,Yes,Yes,Rural,> 60,Windows Desktop / Laptop,Male,"$125,000-$149,999",East North Central
118440856359,453292315,10/11/2023 12:02:28 PM,10/11/2023 12:03:48 PM,,,,,da93ceed4d04a97e7065d31d57,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",Locked safe or case (not biometric),,,,,,,,No firearms in any household vehicles,Yes,No,,Yes,Rural,45-60,Windows Desktop / Laptop,Male,"$200,000+",East North Central
118440856551,453292315,10/11/2023 12:02:08 PM,10/11/2023 12:03:12 PM,,,,,af111fed1127b6353959c2bb90,smc,Male,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,No,,No,Yes,Rural,18-29,iOS Phone / Tablet,Male,"$50,000-$74,999",East North Central
118440855863,453292315,10/11/2023 12:01:51 PM,10/11/2023 12:02:37 PM,,,,,8a9937f628c3712479aababcdb,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,Locked safe or case (not biometric) secured to vehicle,,,Yes,Children not old enough/don't visit other homes,,No/don't recall,Suburban,30-44,iOS Phone / Tablet,Female,Prefer not to answer,East North Central
118440855498,453292315,10/11/2023 12:01:10 PM,10/11/2023 12:02:20 PM,,,,,a2e16a5d146d42a5ac05701bf3,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,Cable lock,,,,,,,,Locked safe or case (not biometric) secured to vehicle,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,Children not old enough/don't visit other homes,,Yes,Suburban,30-44,iOS Phone / Tablet,Male,"$200,000+",East North Central
118440853089,453292315,10/11/2023 11:58:51 AM,10/11/2023 12:00:05 PM,,,,,2c378212cf67b051f148da153c,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,No,,Yes,Rural,30-44,Android Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440851955,453292315,10/11/2023 11:58:20 AM,10/11/2023 11:59:08 AM,,,,,e6d292ad7d283d2356574c952b,smc,Female,21-34,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,No/don't recall,Rural,18-29,iOS Phone / Tablet,Female,"$10,000-$24,999",East North Central
118440847505,453292315,10/11/2023 11:54:47 AM,10/11/2023 11:55:49 AM,,,,,d5f4a438ea9d9ddf03bbecbcf2,smc,Male,55+,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,Yes,Yes,Suburban,> 60,Windows Desktop / Laptop,Male,"$75,000-$99,999",East North Central
118440846166,453292315,10/11/2023 11:51:57 AM,10/11/2023 11:54:04 AM,,,,,73b59e0e6a0d47be6805f9dc17,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,,Locked safe or case (not biometric),,,"Drawer, nightstand or other UNLOCKED area",,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,No,,Yes,Rural,30-44,Android Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440845224,453292315,10/11/2023 11:52:44 AM,10/11/2023 11:53:47 AM,,,,,0e099b0d314b539debf9b576e5,smc,Male,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Cable Lock,,,,,,,,,,,,No,,No,No/don't recall,Suburban,> 60,Android Phone / Tablet,Male,"$0-$9,999",Middle Atlantic
118440843215,453292315,10/11/2023 11:50:27 AM,10/11/2023 11:51:41 AM,,,,,f3e3125a820c40490aa1a9d187,smc,Male,21-34,"Southern (Carbondale, Mount Vernon, East St. Louis, etc.)",All Unlocked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,"Trunk, glovebox, under seat or other hidden but unsecured place",No firearms in any household vehicles,Yes,No,,Yes,Urban/city,18-29,iOS Phone / Tablet,Male,"$50,000-$74,999",East North Central
118440841635,453292315,10/11/2023 11:48:40 AM,10/11/2023 11:50:13 AM,,,,,851506fa74d73dfc715f583037,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,Yes,No/don't recall,Urban/city,18-29,iOS Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440840663,453292315,10/11/2023 11:38:12 AM,10/11/2023 11:49:15 AM,,,,,f34a5e32cd5cb7333a20399deb,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",Locked safe or case (not biometric),,,,,,,,No firearms in any household vehicles,No,,No,Yes,Rural,30-44,Android Phone / Tablet,Male,Prefer not to answer,East North Central
118440839768,453292315,10/11/2023 11:46:34 AM,10/11/2023 11:48:21 AM,,,,,5f66576763357322b35eca5158,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,,,No firearms in any household vehicles,No,,No,Yes,Rural,30-44,iOS Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440838502,453292315,10/11/2023 11:43:48 AM,10/11/2023 11:47:12 AM,,,,,3d53cfa2d045269331a518cded,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,Cable lock,"Biometric (Fingerprint, etc.) safe",Locked safe or case (not biometric),Trigger Lock,Other type of lock or safe (including locked cabinet or other locked area),"Drawer, nightstand or other UNLOCKED area",,,Locked safe or case (not biometric) secured to vehicle,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,No,,Yes,Urban/city,30-44,iOS Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440836988,453292315,10/11/2023 11:45:30 AM,10/11/2023 11:45:43 AM,,,,,8f4f7c74be52f0de604b75354d,smc,Male,35-54,"Central (Peoria, Champaign, Springfield, etc.)",All Unlocked,,,,Locked safe or case (not biometric),,Other type of lock or safe (including locked cabinet or other locked area),,,"Biometric (fingerprint, etc.) safe secured to vehicle",,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,No,,Yes,Rural,18-29,iOS Phone / Tablet,Male,"$100,000-$124,999",East North Central
118440834511,453292315,10/11/2023 11:40:27 AM,10/11/2023 11:43:38 AM,,,,,55bd2f0bccbeaa3425f83c74d5,smc,Male,55+,"Central (Peoria, Champaign, Springfield, etc.)",All Unlocked,,,,Locked safe or case (not biometric),,Other type of lock or safe (including locked cabinet or other locked area),,,,,,No firearms in any household vehicles,No,,No,Yes,Suburban,> 60,Android Phone / Tablet,Male,"$10,000-$24,999",East North Central
118440832250,453292315,10/11/2023 11:38:21 AM,10/11/2023 11:41:36 AM,,,,,5065ac7ff4187945e613b58b0e,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,No,Yes,Rural,30-44,Android Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440830651,453292315,10/11/2023 11:39:12 AM,10/11/2023 11:40:15 AM,,,,,c94010e784c9e4cbefc6b815f4,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,No,,Yes,Urban/city,30-44,Android Phone / Tablet,Female,"$10,000-$24,999",East North Central
118440821659,453292315,10/11/2023 11:31:20 AM,10/11/2023 11:32:13 AM,,,,,d8367b85f4e86a5fc602e394cd,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,Yes,,Yes,Suburban,30-44,Android Phone / Tablet,Male,"$200,000+",East North Central
118440821600,453292315,10/11/2023 11:31:12 AM,10/11/2023 11:32:09 AM,,,,,6beae82e87159f146b1415e2be,smc,Male,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",,,Other type of lock or safe (including locked cabinet or other locked area),,,,,,No firearms in any household vehicles,Yes,No,,Yes,Suburban,30-44,iOS Phone / Tablet,Male,"$0-$9,999",East North Central
118440821434,453292315,10/11/2023 11:31:19 AM,10/11/2023 11:32:00 AM,,,,,82e05de842799bba6ffc704471,smc,Male,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,Children not old enough/don't visit other homes,,Yes,Suburban,30-44,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440820386,453292315,10/11/2023 11:30:29 AM,10/11/2023 11:31:00 AM,,,,,124104036977cd62b8191f87d9,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,Cable lock,,,,,,,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,No,,No,Yes,Rural,18-29,iOS Phone / Tablet,Male,"$150,000-$174,999",East North Central
118440809572,453292315,10/11/2023 11:15:52 AM,10/11/2023 11:20:41 AM,,,,,393fbc3c5cf13f9c0b999178e9,smc,Male,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,Yes,Yes,Rural,45-60,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440803711,453292315,10/11/2023 11:14:40 AM,10/11/2023 11:16:23 AM,,,,,f4cf01d846d001f0f946c2c11d,smc,Male,55+,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All Unlocked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,,No firearms in any household vehicles,No,,Yes,Yes,Suburban,> 60,Android Phone / Tablet,Male,"$150,000-$174,999",East North Central
118440804256,453292315,10/11/2023 11:15:12 AM,10/11/2023 11:15:49 AM,,,,,20e819086f79e95109a7d55f66,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",,,,,,,,,No firearms in any household vehicles,Yes,Children not old enough/don't visit other homes,,Yes,Urban/city,30-44,Android Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440804027,453292315,10/11/2023 11:15:28 AM,10/11/2023 11:15:37 AM,,,,,16e9ee4d92a5703a2bf326c848,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All Unlocked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,Locked safe or case (not biometric) secured to vehicle,,,No,,Yes,Yes,Urban/city,18-29,iOS Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440803920,453292315,10/11/2023 11:14:40 AM,10/11/2023 11:15:31 AM,,,,,8134d98bd79e2f1e8254fec048,smc,Female,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,Locked safe or case (not biometric) secured to vehicle,,,Yes,No,,Yes,Suburban,18-29,iOS Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440783160,453292315,10/11/2023 10:56:16 AM,10/11/2023 10:56:43 AM,,,,,0803cd26ee9d67c59249168916,smc,Female,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,Yes,,Yes,Urban/city,30-44,iOS Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440779869,453292315,10/11/2023 10:52:52 AM,10/11/2023 10:53:27 AM,,,,,1821610dda9bf49ed581d32913,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,,,Other type of lock or safe (including locked cabinet or other locked area),,,,,,No firearms in any household vehicles,No,,No,Yes,Suburban,45-60,Android Phone / Tablet,Male,"$50,000-$74,999",East North Central
118440778342,453292315,10/11/2023 10:51:02 AM,10/11/2023 10:51:56 AM,,,,,79cb390d90d18208c9da6eb13c,smc,Female,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Suburban,30-44,Android Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440774671,453292315,10/11/2023 10:47:00 AM,10/11/2023 10:48:22 AM,,,,,0c8343c15a61387671abc692ba,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,Yes,Yes,Urban/city,18-29,Android Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440773228,453292315,10/11/2023 10:46:20 AM,10/11/2023 10:47:02 AM,,,,,de23293edc210634e59e8f6bfa,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,No,,No,Yes,Urban/city,30-44,Android Phone / Tablet,Male,"$10,000-$24,999",East North Central
118440772844,453292315,10/11/2023 10:45:29 AM,10/11/2023 10:46:38 AM,,,,,b3b30e245b618704af7433f99b,smc,Male,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,No,No/don't recall,Suburban,18-29,Android Phone / Tablet,Male,"$150,000-$174,999",East North Central
118440765509,453292315,10/11/2023 10:39:33 AM,10/11/2023 10:39:51 AM,,,,,758fdf244492a61d2369e90f52,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,,,Other type of lock or safe (including locked cabinet or other locked area),"Drawer, nightstand or other UNLOCKED area",,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,No,,No,No/don't recall,Suburban,18-29,iOS Phone / Tablet,Male,"$100,000-$124,999",East North Central
118440760201,453292315,10/11/2023 10:33:57 AM,10/11/2023 10:35:04 AM,,,,,84744e02f774eda0c46fe660d5,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,Yes,No,,No/don't recall,Suburban,30-44,iOS Phone / Tablet,Male,Prefer not to answer,East North Central
118440758042,453292315,10/11/2023 10:31:36 AM,10/11/2023 10:33:05 AM,,,,,0f2534ef8f57eec0b7bcc01e1a,smc,Female,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,No,,No/don't recall,Rural,30-44,iOS Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440756639,453292315,10/11/2023 10:30:45 AM,10/11/2023 10:31:47 AM,,,,,ece46fe9439940ad65aa8cc604,smc,Male,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,No,No/don't recall,Suburban,18-29,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440755626,453292315,10/11/2023 10:30:11 AM,10/11/2023 10:30:52 AM,,,,,26b35442ed2db8510b6a765f85,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Urban/city,18-29,iOS Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440755150,453292315,10/11/2023 10:28:34 AM,10/11/2023 10:30:26 AM,,,,,9924dcec989694c3458c556d8b,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,No,,Yes,Rural,30-44,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440754451,453292315,10/11/2023 10:28:29 AM,10/11/2023 10:29:46 AM,,,,,85dd406d655ba4296b05a4771f,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,No,,Yes,Suburban,18-29,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440754439,453292315,10/11/2023 10:28:55 AM,10/11/2023 10:29:45 AM,,,,,703b59a59a5f111551b74c0bc0,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,Yes,No,,Yes,Suburban,30-44,iOS Phone / Tablet,Female,"$100,000-$124,999",East North Central
118440745198,453292315,10/11/2023 10:18:17 AM,10/11/2023 10:20:59 AM,,,,,a7649a90430c7a15df4d40fa3f,smc,Male,55+,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),Trigger Lock,,,,,,,No firearms in any household vehicles,No,,Yes,Yes,Suburban,> 60,iOS Phone / Tablet,Male,"$200,000+",East North Central
118440744711,453292315,10/11/2023 10:19:59 AM,10/11/2023 10:20:33 AM,,,,,f76cc806d811d2595ff4992a97,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Urban/city,18-29,Android Phone / Tablet,Female,"$10,000-$24,999",East North Central
118440744679,453292315,10/11/2023 10:19:21 AM,10/11/2023 10:20:31 AM,,,,,99f4044388fb0b014405f11e4e,smc,Female,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,Children not old enough/don't visit other homes,,Yes,Urban/city,30-44,Android Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440742585,453292315,10/11/2023 10:17:55 AM,10/11/2023 10:18:31 AM,,,,,0eed07f09250c1aec5ad30c3a0,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,Yes,Yes,Suburban,18-29,Android Phone / Tablet,Female,"$0-$9,999",East North Central
118440741096,453292315,10/11/2023 10:15:18 AM,10/11/2023 10:17:04 AM,,,,,5f236e6e0c158672ea383a94ff,smc,Male,55+,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,No,,Yes,No/don't recall,Suburban,45-60,iOS Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440740898,453292315,10/11/2023 10:16:18 AM,10/11/2023 10:16:53 AM,,,,,6b2b7c0734cb9fc3c610f56b55,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,No,,No,No/don't recall,Suburban,30-44,iOS Phone / Tablet,Male,"$10,000-$24,999",East North Central
118440739464,453292315,10/11/2023 10:13:50 AM,10/11/2023 10:15:32 AM,,,,,09998fcad2cb0fe5a2cd33dc5c,smc,Female,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,Yes,Yes,Suburban,30-44,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440722791,453292315,10/11/2023 10:00:33 AM,10/11/2023 10:01:12 AM,,,,,aeb4746b2f8d4a2db06f6a68a4,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,,No firearms in any household vehicles,No,,No,No/don't recall,Suburban,18-29,iOS Phone / Tablet,Male,Prefer not to answer,East North Central
118440721352,453292315,10/11/2023 09:58:45 AM,10/11/2023 10:00:00 AM,,,,,25f09755849b2db0651b955596,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",,,,,,,,,No firearms in any household vehicles,No,,No,Yes,Suburban,45-60,Android Phone / Tablet,Male,"$200,000+",East North Central
